,date,toll,pvpc_eur_MWh,prod_cost_eur_MWh
1852,2015-12-09,2.0.DHS,107.63520992375,68.38332666666668
1853,2015-12-09,2.0A,128.7261498541667,71.08224333333332
1854,2015-12-10,2.0.DHA,110.08903913291668,70.98607666666668
1855,2015-12-10,2.0.DHS,110.80565495875,71.05416000000001
1856,2015-12-10,2.0A,132.07995094333333,73.75307666666667
1857,2015-12-11,2.0.DHA,108.54596705625,69.74524333333333
1858,2015-12-11,2.0.DHS,109.24044722083333,69.81332666666667
1859,2015-12-11,2.0A,130.5241760183333,72.51224333333332
1860,2015-12-12,2.0.DHA,107.88000530291667,68.17190999999998
1861,2015-12-12,2.0.DHS,108.76670873333332,68.23999333333332
1862,2015-12-12,2.0A,129.43401306750002,70.93891
1863,2015-12-13,2.0.DHA,93.76316912958332,56.67149333333334
1864,2015-12-13,2.0.DHS,94.36722267249998,56.73957666666667
1865,2015-12-13,2.0A,114.93419592791669,59.438493333333334
1866,2015-12-14,2.0.DHA,98.55404743333334,60.63357666666667
1867,2015-12-14,2.0.DHS,99.18276760874998,60.70166
1868,2015-12-14,2.0A,120.06555861791668,63.40057666666667
1869,2015-12-15,2.0.DHA,96.20177816458333,58.527326666666674
1870,2015-12-15,2.0.DHS,96.87687134916665,58.59541000000001
1871,2015-12-15,2.0A,117.77084244208332,61.29432666666667
1872,2015-12-16,2.0.DHA,101.52696507124999,63.66607666666666
1873,2015-12-16,2.0.DHS,102.20664409041665,63.73415999999998
1874,2015-12-16,2.0A,123.18955110416665,66.43307666666665
1875,2015-12-17,2.0.DHA,101.57375663291667,63.70816
1876,2015-12-17,2.0.DHS,102.23596329208333,63.77624333333332
1877,2015-12-17,2.0A,123.32009219333331,66.47516
1878,2015-12-18,2.0.DHA,101.40561205624999,63.616076666666665
1879,2015-12-18,2.0.DHS,102.05975097083332,63.68415999999999
1880,2015-12-18,2.0A,123.19162976833333,66.38307666666667
1881,2015-12-19,2.0.DHA,93.98857905291669,56.48024333333334
1882,2015-12-19,2.0.DHS,94.71298331666667,56.54832666666667
1883,2015-12-19,2.0A,115.33647598416667,59.24724333333334
1884,2015-12-20,2.0.DHA,94.49523537958335,56.916076666666676
1885,2015-12-20,2.0.DHS,95.27045642249999,56.984159999999996
1886,2015-12-20,2.0A,115.49424092791666,59.68307666666666
1887,2015-12-21,2.0.DHA,103.62664493333335,64.96732666666666
1888,2015-12-21,2.0.DHS,104.22676260875001,65.03541
1889,2015-12-21,2.0A,125.38777320125003,67.73432666666666
1890,2015-12-22,2.0.DHA,101.66531024791668,63.18232666666666
1891,2015-12-22,2.0.DHS,102.37787593249999,63.25041000000001
1892,2015-12-22,2.0A,123.37195494208333,65.94932666666666
1893,2015-12-23,2.0.DHA,102.89699757125,64.79816000000001
1894,2015-12-23,2.0.DHS,103.52294950708334,64.86624333333334
1895,2015-12-23,2.0A,124.68671652083334,67.56515999999999
1896,2015-12-24,2.0.DHA,94.20960121625001,57.416076666666676
1897,2015-12-24,2.0.DHS,94.76108995875,57.48416
1898,2015-12-24,2.0A,115.84540302666666,60.18307666666667
1899,2015-12-25,2.0.DHA,98.29251080833332,57.26399333333333
1900,2015-12-25,2.0.DHS,98.98061070249999,57.332076666666644
1901,2015-12-25,2.0A,120.2101896425,60.03099333333335
1902,2015-12-26,2.0.DHA,90.68703696958335,53.579409999999996
1903,2015-12-26,2.0.DHS,91.37122289999998,53.64749333333333
1904,2015-12-26,2.0A,111.90258723416666,56.34640999999999
1905,2015-12-27,2.0.DHA,75.70777496291667,41.24482666666666
1906,2015-12-27,2.0.DHS,76.16611892249999,41.31290999999999
1907,2015-12-27,2.0A,96.54392634458334,44.01182666666667
1908,2015-12-28,2.0.DHA,82.03002076666668,46.65857666666667
1909,2015-12-28,2.0.DHS,82.50072260875,46.72666
1910,2015-12-28,2.0A,103.29830486791666,49.425576666666664
1911,2015-12-29,2.0.DHA,93.2178439979167,55.98941
1912,2015-12-29,2.0.DHS,93.84957384916669,56.05749333333333
1913,2015-12-29,2.0A,114.75860452541666,58.75641000000001
1914,2015-12-30,2.0.DHA,86.13335965458334,50.530243333333345
1915,2015-12-30,2.0.DHS,86.66296367374999,50.59832666666667
1916,2015-12-30,2.0A,107.5518331875,53.29724333333334
1917,2015-12-31,2.0.DHA,94.2406403829167,57.45149333333334
1918,2015-12-31,2.0.DHS,94.84324579208334,57.519576666666666
1919,2015-12-31,2.0A,115.78057510999999,60.21849333333333
1920,2016-01-01,2.0.DHA,76.50664438333334,40.65549333333333
1921,2016-01-01,2.0.DHS,76.74510887041667,40.709243333333326
1922,2016-01-01,2.0A,97.16275552166665,42.827993333333325
1923,2016-01-02,2.0.DHA,77.54106954750002,42.05382666666666
1924,2016-01-02,2.0.DHS,78.04009932708333,42.10757666666667
1925,2016-01-02,2.0A,97.81569040249998,44.22632666666667
1926,2016-01-03,2.0.DHA,65.18591495583335,31.65841
1927,2016-01-03,2.0.DHS,65.49353348875002,31.712159999999997
1928,2016-01-03,2.0A,85.42943566625,33.83091
1929,2016-01-04,2.0.DHA,74.50615814666666,40.55257666666667
1930,2016-01-04,2.0.DHS,74.99566525333333,40.60632666666667
1931,2016-01-04,2.0A,94.68602735416668,42.725076666666666
1932,2016-01-05,2.0.DHA,75.32105513958332,41.072160000000004
1933,2016-01-05,2.0.DHS,75.82389622249998,41.125910000000005
1934,2016-01-05,2.0A,95.58930109625003,43.24465999999999
1935,2016-01-06,2.0.DHA,58.55811338291665,26.88924333333333
